InvoiceNo,Description,Quantity,UnitPrice,InvoiceDate,Country,CustomerID
389349,Laptop Stand,3,30.0,2023-03-19 23:00:00,Belgium,68622
378385,Bluetooth Speaker,3,45.0,2022-09-11 17:00:00,Germany,34542
682372,Bluetooth Speaker,1,45.0,2023-03-24 18:00:00,Belgium,17947
596742,Portable SSD,4,99.99,2023-05-16 16:00:00,Belgium,24825
182505,Bluetooth Speaker,9,45.0,2023-08-03 18:00:00,France,48975
312862,Laptop Stand,5,30.0,2022-09-09 19:00:00,Netherlands,39572
614716,USB-C Cable,3,7.99,2022-07-26 00:00:00,France,35635
293854,Laptop Stand,10,30.0,2023-06-18 05:00:00,Germany,38568
652853,Laptop Stand,10,30.0,2024-11-21 11:00:00,Italy,82084
958992,LED Monitor,10,150.0,2023-11-11 02:00:00,Netherlands,59016
237894,Wireless Mouse,10,15.99,2022-08-08 08:00:00,Italy,23652
751918,Wireless Mouse,3,15.99,2023-11-24 06:00:00,Italy,68724
731064,USB-C Cable,5,7.99,2024-03-10 05:00:00,Spain,45166
951139,Smartwatch,2,199.99,2023-01-18 04:00:00,France,25324
368787,Smartwatch,6,199.99,2022-02-07 09:00:00,United Kingdom,23788
400450,Laptop Stand,6,30.0,2023-11-08 04:00:00,Spain,57353
688320,Bluetooth Speaker,5,45.0,2023-05-05 00:00:00,Belgium,39260
465102,Bluetooth Speaker,9,45.0,2023-03-25 15:00:00,United Kingdom,16301
448824,LED Monitor,8,150.0,2024-06-04 18:00:00,Germany,40708
300062,LED Monitor,8,150.0,2023-10-03 04:00:00,Germany,35475
609117,LED Monitor,1,150.0,2022-04-16 19:00:00,France,61072
311173,Wireless Mouse,7,15.99,2023-04-26 12:00:00,Italy,79021
880899,Smartwatch,7,199.99,2024-06-04 05:00:00,Belgium,30130
483245,Laptop Stand,1,30.0,2024-07-23 19:00:00,Belgium,64682
486911,Webcam HD,2,39.99,2024-10-29 20:00:00,Germany,59282
767481,Bluetooth Speaker,8,45.0,2024-01-15 09:00:00,Germany,37656
638490,Portable SSD,7,99.99,2024-07-05 22:00:00,United Kingdom,63471
911088,Bluetooth Speaker,3,45.0,2024-09-22 05:00:00,Spain,56450
762843,Bluetooth Speaker,9,45.0,2022-04-02 11:00:00,Netherlands,46611
211053,Bluetooth Speaker,1,45.0,2022-12-08 21:00:00,Italy,77373
543375,Mechanical Keyboard,9,85.0,2023-06-27 17:00:00,Netherlands,83629
553724,Bluetooth Speaker,5,45.0,2023-05-19 20:00:00,Spain,77728
306569,Bluetooth Speaker,7,45.0,2024-07-26 16:00:00,France,71273
731002,Mechanical Keyboard,10,85.0,2022-06-17 04:00:00,Netherlands,14335
865415,Smartwatch,8,199.99,2024-08-31 12:00:00,Germany,17373
666718,Wireless Mouse,2,15.99,2022-08-01 20:00:00,Italy,12199
109177,USB-C Cable,8,7.99,2022-08-12 15:00:00,Germany,57357
227604,LED Monitor,5,150.0,2024-02-08 11:00:00,France,91781
959616,LED Monitor,9,150.0,2023-05-23 14:00:00,Netherlands,72468
940767,Bluetooth Speaker,1,45.0,2023-05-25 04:00:00,Netherlands,98124
865497,Noise Cancelling Headphones,9,120.0,2023-06-12 07:00:00,Italy,24106
443720,Wireless Mouse,9,15.99,2024-05-15 07:00:00,Belgium,42109
836482,Noise Cancelling Headphones,3,120.0,2023-07-25 18:00:00,Germany,57739
399555,Wireless Mouse,9,15.99,2023-02-12 21:00:00,United Kingdom,30990
688917,Smartwatch,6,199.99,2022-08-24 21:00:00,United Kingdom,65671
558817,Mechanical Keyboard,6,85.0,2023-05-22 08:00:00,Belgium,69975
990536,Webcam HD,2,39.99,2024-10-26 17:00:00,Italy,43741
476743,Laptop Stand,7,30.0,2024-03-05 20:00:00,Spain,44887
184520,Wireless Mouse,9,15.99,2023-11-30 08:00:00,Italy,34970
170025,Noise Cancelling Headphones,9,120.0,2023-05-06 10:00:00,Spain,95074
313850,LED Monitor,7,150.0,2024-04-27 17:00:00,Italy,60679
719074,Portable SSD,10,99.99,2022-07-30 17:00:00,Netherlands,59775
871556,Mechanical Keyboard,9,85.0,2022-07-04 08:00:00,Italy,49626
985265,Webcam HD,10,39.99,2023-03-18 03:00:00,Italy,50835
558897,Smartwatch,1,199.99,2024-03-27 03:00:00,Germany,54204
757930,Smartwatch,10,199.99,2023-09-05 08:00:00,Italy,66160
366421,Laptop Stand,2,30.0,2023-06-07 07:00:00,France,47112
293729,Portable SSD,9,99.99,2022-11-26 03:00:00,Netherlands,48246
510993,Laptop Stand,4,30.0,2024-06-12 02:00:00,Spain,80197
492995,Mechanical Keyboard,7,85.0,2024-08-20 04:00:00,Spain,60208
921007,USB-C Cable,9,7.99,2024-08-01 23:00:00,Netherlands,65015
677191,Noise Cancelling Headphones,1,120.0,2024-06-19 20:00:00,United Kingdom,16902
579611,Noise Cancelling Headphones,4,120.0,2024-05-01 22:00:00,Belgium,36480
611635,Webcam HD,2,39.99,2024-01-28 21:00:00,Germany,83345
407251,Portable SSD,4,99.99,2022-03-25 17:00:00,Spain,52976
301581,Bluetooth Speaker,4,45.0,2023-03-30 03:00:00,Germany,29932
787151,USB-C Cable,7,7.99,2024-07-27 00:00:00,Belgium,92084
126078,Noise Cancelling Headphones,6,120.0,2024-06-15 09:00:00,Netherlands,62719
791385,Webcam HD,3,39.99,2022-03-07 23:00:00,Italy,87364
299491,USB-C Cable,3,7.99,2024-08-08 18:00:00,Spain,23603
888589,LED Monitor,4,150.0,2024-02-27 16:00:00,United Kingdom,74837
696307,Mechanical Keyboard,1,85.0,2024-07-20 13:00:00,Italy,71074
533888,USB-C Cable,1,7.99,2023-04-26 10:00:00,Italy,91601
369143,Webcam HD,5,39.99,2024-08-22 12:00:00,Germany,64098
901794,Webcam HD,1,39.99,2022-09-16 09:00:00,Germany,70496
905259,Bluetooth Speaker,4,45.0,2023-07-17 15:00:00,France,14454
207284,Bluetooth Speaker,8,45.0,2022-12-30 02:00:00,Belgium,69500
429896,LED Monitor,7,150.0,2024-04-20 22:00:00,Netherlands,55134
589645,Portable SSD,9,99.99,2022-08-23 06:00:00,France,56800
362176,Portable SSD,5,99.99,2022-09-03 06:00:00,Belgium,10466
741238,Webcam HD,10,39.99,2024-09-20 10:00:00,Netherlands,86030
799136,Portable SSD,6,99.99,2023-06-02 22:00:00,Netherlands,47950
772532,LED Monitor,5,150.0,2022-09-29 12:00:00,Netherlands,84921
865766,Bluetooth Speaker,7,45.0,2024-07-09 07:00:00,Germany,69064
334948,Bluetooth Speaker,2,45.0,2022-01-25 03:00:00,Germany,33150
962966,Smartwatch,3,199.99,2022-07-13 00:00:00,Belgium,77858
361540,Laptop Stand,5,30.0,2023-11-17 03:00:00,United Kingdom,67021
381636,USB-C Cable,6,7.99,2023-10-16 12:00:00,Netherlands,26346
899750,USB-C Cable,2,7.99,2022-05-27 07:00:00,France,35930
186215,LED Monitor,4,150.0,2024-08-25 12:00:00,France,40902
852463,USB-C Cable,6,7.99,2022-09-10 11:00:00,Belgium,70797
141561,Bluetooth Speaker,5,45.0,2023-09-24 00:00:00,France,14294
467539,USB-C Cable,7,7.99,2022-02-02 04:00:00,Belgium,70083
139154,Laptop Stand,8,30.0,2022-12-08 04:00:00,Italy,84750
577262,USB-C Cable,8,7.99,2023-11-09 12:00:00,Netherlands,15500
960230,Laptop Stand,9,30.0,2023-10-29 21:00:00,France,86364
394088,Portable SSD,4,99.99,2023-06-28 13:00:00,United Kingdom,34442
935205,Bluetooth Speaker,2,45.0,2022-10-21 15:00:00,Germany,40681
101543,Mechanical Keyboard,1,85.0,2023-09-12 08:00:00,United Kingdom,97401
635679,Laptop Stand,3,30.0,2023-04-30 16:00:00,France,36041
450945,Wireless Mouse,2,15.99,2022-05-28 11:00:00,Italy,68344
641128,Webcam HD,8,39.99,2023-03-18 06:00:00,Netherlands,16378
215914,Mechanical Keyboard,2,85.0,2022-05-02 08:00:00,Belgium,23722
401634,Webcam HD,7,39.99,2022-07-04 14:00:00,Italy,37734
873322,LED Monitor,9,150.0,2024-07-11 05:00:00,France,32132
869900,Mechanical Keyboard,7,85.0,2023-09-07 02:00:00,Belgium,29027
250906,Webcam HD,10,39.99,2024-02-07 07:00:00,Spain,75579
437768,Portable SSD,6,99.99,2022-03-19 12:00:00,Netherlands,57242
763272,Portable SSD,2,99.99,2022-08-29 06:00:00,Netherlands,62751
141031,Smartwatch,10,199.99,2022-04-24 23:00:00,Spain,53306
293201,Wireless Mouse,7,15.99,2024-06-28 01:00:00,France,32866
262982,Bluetooth Speaker,1,45.0,2024-09-25 04:00:00,Spain,96253
863986,LED Monitor,4,150.0,2022-05-16 02:00:00,Italy,64766
402455,Mechanical Keyboard,2,85.0,2022-03-24 22:00:00,Netherlands,23457
600127,LED Monitor,7,150.0,2023-06-26 03:00:00,Netherlands,74095
201261,Noise Cancelling Headphones,1,120.0,2022-07-03 19:00:00,Italy,29239
659015,Portable SSD,4,99.99,2023-01-19 05:00:00,Belgium,21758
949392,Wireless Mouse,7,15.99,2024-04-10 06:00:00,Germany,54639
185440,LED Monitor,1,150.0,2024-01-01 16:00:00,France,92399
929967,Portable SSD,7,99.99,2022-10-10 00:00:00,Belgium,90285
863007,Wireless Mouse,5,15.99,2022-04-04 08:00:00,Spain,74989
132899,Portable SSD,10,99.99,2022-10-04 10:00:00,Spain,80962
619457,Webcam HD,4,39.99,2024-08-22 17:00:00,Italy,41209
996330,Mechanical Keyboard,5,85.0,2024-04-17 04:00:00,Netherlands,69274
467842,Webcam HD,6,39.99,2023-04-29 18:00:00,France,38558
118852,Webcam HD,4,39.99,2022-11-05 04:00:00,Netherlands,35214
941253,Smartwatch,6,199.99,2023-09-28 07:00:00,France,83270
190983,Portable SSD,7,99.99,2022-05-07 05:00:00,Spain,18407
914271,Laptop Stand,6,30.0,2024-10-01 10:00:00,Germany,75301
567678,Smartwatch,2,199.99,2023-02-03 23:00:00,France,66274
833945,Mechanical Keyboard,5,85.0,2022-10-07 14:00:00,Netherlands,22082
519865,Mechanical Keyboard,7,85.0,2024-05-20 16:00:00,Spain,33100
388857,Laptop Stand,1,30.0,2023-05-26 03:00:00,Germany,40388
955499,Bluetooth Speaker,2,45.0,2023-06-20 14:00:00,United Kingdom,87232
521924,Webcam HD,8,39.99,2023-08-21 01:00:00,United Kingdom,49505
328667,LED Monitor,4,150.0,2023-07-07 10:00:00,France,34176
836999,Bluetooth Speaker,2,45.0,2022-04-20 17:00:00,Belgium,41565
745758,Wireless Mouse,8,15.99,2022-09-03 21:00:00,Netherlands,35096
410309,Noise Cancelling Headphones,3,120.0,2023-10-10 03:00:00,France,19104
815654,LED Monitor,9,150.0,2024-12-11 06:00:00,United Kingdom,19214
898359,Mechanical Keyboard,5,85.0,2022-07-01 00:00:00,Germany,46724
119097,Mechanical Keyboard,8,85.0,2024-08-10 10:00:00,Spain,97867
947675,Mechanical Keyboard,3,85.0,2024-05-08 07:00:00,Netherlands,38186
330146,LED Monitor,2,150.0,2022-06-19 16:00:00,France,25159
959314,Laptop Stand,3,30.0,2023-01-15 08:00:00,United Kingdom,86626
385127,Wireless Mouse,3,15.99,2024-10-08 18:00:00,Netherlands,56097
644876,USB-C Cable,9,7.99,2022-06-25 13:00:00,France,14367
640266,Mechanical Keyboard,5,85.0,2023-08-04 06:00:00,Netherlands,15269
791495,Mechanical Keyboard,2,85.0,2022-07-22 13:00:00,Germany,30120
744824,Noise Cancelling Headphones,3,120.0,2024-06-17 06:00:00,Belgium,23811
940223,Laptop Stand,10,30.0,2024-05-30 14:00:00,Germany,37573
359125,Laptop Stand,7,30.0,2022-06-15 07:00:00,Italy,99635
103541,Laptop Stand,5,30.0,2022-11-26 18:00:00,Germany,47515
546045,Bluetooth Speaker,6,45.0,2024-08-06 15:00:00,Netherlands,83722
394871,Portable SSD,2,99.99,2024-03-26 11:00:00,France,38524
409757,LED Monitor,8,150.0,2024-09-15 16:00:00,Germany,88130
965553,Portable SSD,10,99.99,2023-06-04 19:00:00,Germany,51532
447820,Portable SSD,3,99.99,2024-11-07 12:00:00,Italy,39499
461320,Noise Cancelling Headphones,8,120.0,2022-11-03 09:00:00,Italy,39808
243623,Smartwatch,2,199.99,2024-07-01 19:00:00,Spain,36192
620244,USB-C Cable,2,7.99,2022-03-05 07:00:00,Spain,72576
889097,Webcam HD,5,39.99,2022-06-11 17:00:00,United Kingdom,13836
575128,Bluetooth Speaker,10,45.0,2023-02-04 03:00:00,Germany,63954
518235,Portable SSD,6,99.99,2023-02-12 06:00:00,Belgium,63435
684753,LED Monitor,10,150.0,2024-05-28 03:00:00,Italy,40770
472098,Smartwatch,3,199.99,2024-10-25 06:00:00,France,11717
109645,LED Monitor,5,150.0,2024-07-09 20:00:00,Spain,43525
838592,Bluetooth Speaker,3,45.0,2024-08-15 09:00:00,Italy,90363
981118,Laptop Stand,8,30.0,2024-07-06 11:00:00,Belgium,10551
358756,Webcam HD,1,39.99,2022-05-23 06:00:00,Belgium,14605
586246,LED Monitor,3,150.0,2024-10-07 12:00:00,Netherlands,57374
156637,Noise Cancelling Headphones,2,120.0,2023-04-03 10:00:00,Belgium,42653
754603,Mechanical Keyboard,10,85.0,2023-12-06 22:00:00,Belgium,63302
145856,Bluetooth Speaker,10,45.0,2023-07-02 04:00:00,Belgium,49990
866199,LED Monitor,10,150.0,2022-11-27 20:00:00,United Kingdom,40949
674644,Wireless Mouse,6,15.99,2024-11-11 20:00:00,United Kingdom,31199
828375,Mechanical Keyboard,7,85.0,2024-03-12 19:00:00,France,53994
466511,Mechanical Keyboard,10,85.0,2022-01-29 03:00:00,United Kingdom,96267
471274,Bluetooth Speaker,1,45.0,2022-05-31 16:00:00,France,91790
727499,Bluetooth Speaker,6,45.0,2024-12-21 20:00:00,Germany,50005
249959,Webcam HD,8,39.99,2024-12-18 08:00:00,Germany,58350
714015,Portable SSD,10,99.99,2022-08-31 10:00:00,France,12517
713675,LED Monitor,10,150.0,2024-06-15 18:00:00,Germany,89655
885901,Bluetooth Speaker,2,45.0,2023-09-09 14:00:00,France,90135
683103,USB-C Cable,10,7.99,2024-11-08 07:00:00,Spain,54010
793233,Smartwatch,1,199.99,2022-11-14 01:00:00,Spain,11991
144684,Bluetooth Speaker,10,45.0,2023-07-18 19:00:00,Netherlands,11502
147846,Portable SSD,3,99.99,2024-11-20 01:00:00,Netherlands,74169
733680,Bluetooth Speaker,10,45.0,2024-07-05 02:00:00,France,26705
890037,Bluetooth Speaker,6,45.0,2024-05-13 16:00:00,Spain,67824
949643,USB-C Cable,4,7.99,2022-10-12 08:00:00,Spain,40182
775450,Laptop Stand,1,30.0,2022-02-08 09:00:00,Spain,50781
914997,USB-C Cable,2,7.99,2024-11-11 16:00:00,Germany,60494
492851,Portable SSD,10,99.99,2023-01-13 09:00:00,France,93751
392322,Bluetooth Speaker,5,45.0,2023-07-23 01:00:00,Netherlands,65825
716843,LED Monitor,9,150.0,2023-01-20 02:00:00,Spain,97916
895057,Webcam HD,7,39.99,2023-07-05 13:00:00,Italy,67370
769653,Wireless Mouse,3,15.99,2023-11-25 20:00:00,Belgium,87107
569072,Bluetooth Speaker,3,45.0,2024-04-02 21:00:00,United Kingdom,60513
546824,Laptop Stand,1,30.0,2023-03-11 05:00:00,Italy,57170
292399,Laptop Stand,9,30.0,2023-10-23 08:00:00,Germany,72767
891037,Laptop Stand,3,30.0,2024-07-09 05:00:00,Netherlands,81368
672986,Wireless Mouse,9,15.99,2023-11-18 08:00:00,France,75419
545829,Laptop Stand,7,30.0,2023-09-19 01:00:00,Spain,79867
516954,Smartwatch,1,199.99,2024-04-23 17:00:00,Belgium,35500
983678,Smartwatch,5,199.99,2024-09-10 09:00:00,United Kingdom,48389
590924,Noise Cancelling Headphones,10,120.0,2024-11-14 17:00:00,Italy,63213
808177,Wireless Mouse,1,15.99,2022-08-25 21:00:00,Spain,23306
198986,Bluetooth Speaker,1,45.0,2024-07-31 03:00:00,Netherlands,50900
920474,Noise Cancelling Headphones,6,120.0,2024-06-17 16:00:00,Belgium,81246
502165,USB-C Cable,4,7.99,2024-08-27 15:00:00,Spain,12614
252306,Webcam HD,9,39.99,2024-09-05 08:00:00,France,12884
109502,LED Monitor,1,150.0,2022-11-24 01:00:00,Germany,63380
129502,Mechanical Keyboard,1,85.0,2024-02-01 15:00:00,Netherlands,88243
158305,Portable SSD,3,99.99,2023-03-10 05:00:00,Netherlands,61012
322784,USB-C Cable,4,7.99,2024-06-06 12:00:00,United Kingdom,41542
153165,Wireless Mouse,8,15.99,2024-12-25 14:00:00,France,36992
142421,Mechanical Keyboard,8,85.0,2022-05-23 02:00:00,United Kingdom,65743
395308,Mechanical Keyboard,3,85.0,2022-01-12 14:00:00,France,49922
348330,Bluetooth Speaker,1,45.0,2022-05-10 03:00:00,Germany,45058
846257,Webcam HD,2,39.99,2022-12-06 20:00:00,Netherlands,59465
267894,USB-C Cable,7,7.99,2024-01-07 02:00:00,Belgium,25223
922196,Wireless Mouse,4,15.99,2022-03-29 18:00:00,Germany,31614
928093,Portable SSD,4,99.99,2022-09-06 05:00:00,Spain,11137
497856,USB-C Cable,8,7.99,2024-05-18 13:00:00,France,62582
458114,Mechanical Keyboard,10,85.0,2023-03-12 19:00:00,Netherlands,94693
976244,Laptop Stand,9,30.0,2022-12-12 04:00:00,Italy,36595
645546,Wireless Mouse,4,15.99,2023-10-18 02:00:00,Belgium,45609
495088,USB-C Cable,2,7.99,2022-09-15 02:00:00,Italy,11075
119760,Bluetooth Speaker,10,45.0,2022-07-21 14:00:00,France,87049
247819,LED Monitor,5,150.0,2022-02-01 17:00:00,Belgium,92543
502516,Webcam HD,8,39.99,2022-01-19 23:00:00,Spain,11045
488504,Portable SSD,2,99.99,2024-02-23 08:00:00,United Kingdom,32337
866083,Mechanical Keyboard,9,85.0,2023-10-11 07:00:00,Germany,73982
642169,Noise Cancelling Headphones,10,120.0,2023-05-21 01:00:00,Spain,41551
273683,Webcam HD,3,39.99,2024-12-24 16:00:00,Spain,57075
907686,Laptop Stand,7,30.0,2023-09-09 19:00:00,Italy,15856
950949,Webcam HD,6,39.99,2024-06-01 12:00:00,United Kingdom,74021
453849,Bluetooth Speaker,2,45.0,2023-03-27 07:00:00,United Kingdom,31404
528540,Bluetooth Speaker,1,45.0,2024-01-17 14:00:00,France,12667
472561,Bluetooth Speaker,8,45.0,2024-10-03 00:00:00,Spain,58290
865525,Portable SSD,6,99.99,2023-07-17 10:00:00,France,29247
975858,Mechanical Keyboard,8,85.0,2022-04-04 04:00:00,France,66970
435038,USB-C Cable,10,7.99,2023-04-17 11:00:00,Spain,20920
248887,Wireless Mouse,1,15.99,2023-11-19 23:00:00,France,93970
261210,Mechanical Keyboard,8,85.0,2022-10-20 02:00:00,Italy,25600
398983,Webcam HD,1,39.99,2023-04-04 19:00:00,France,16605
159394,Mechanical Keyboard,7,85.0,2024-01-14 17:00:00,France,71065
262903,Portable SSD,9,99.99,2024-10-31 08:00:00,France,67802
479313,Smartwatch,2,199.99,2024-02-26 14:00:00,Netherlands,55353
907614,LED Monitor,1,150.0,2023-02-10 07:00:00,United Kingdom,89611
606772,LED Monitor,10,150.0,2024-02-05 10:00:00,Italy,24936
470301,Bluetooth Speaker,4,45.0,2022-02-13 08:00:00,Italy,68105
203265,Laptop Stand,5,30.0,2024-09-12 12:00:00,United Kingdom,67020
673947,Noise Cancelling Headphones,2,120.0,2024-05-17 11:00:00,Belgium,11064
156188,Noise Cancelling Headphones,2,120.0,2023-03-21 20:00:00,United Kingdom,11804
948211,Mechanical Keyboard,2,85.0,2024-08-31 15:00:00,France,43469
756656,Laptop Stand,3,30.0,2024-08-17 19:00:00,Belgium,69234
929009,Noise Cancelling Headphones,2,120.0,2022-05-19 14:00:00,France,23968
657008,USB-C Cable,2,7.99,2022-08-06 02:00:00,Spain,13346
445017,Wireless Mouse,4,15.99,2022-12-14 02:00:00,Netherlands,64777
258869,USB-C Cable,2,7.99,2024-01-07 05:00:00,Italy,30636
246294,LED Monitor,5,150.0,2023-11-27 21:00:00,Belgium,19880
310951,Webcam HD,8,39.99,2024-09-05 15:00:00,France,59880
380966,Portable SSD,10,99.99,2024-02-05 17:00:00,Germany,80927
744840,Noise Cancelling Headphones,3,120.0,2022-12-16 23:00:00,Germany,34494
458658,LED Monitor,2,150.0,2024-03-30 13:00:00,Italy,71702
821243,Mechanical Keyboard,10,85.0,2024-09-09 01:00:00,France,67390
599781,Bluetooth Speaker,3,45.0,2024-06-29 17:00:00,Netherlands,89219
848634,Noise Cancelling Headphones,8,120.0,2024-04-01 07:00:00,France,96336
697364,Noise Cancelling Headphones,10,120.0,2022-06-01 10:00:00,Belgium,78853
430803,Laptop Stand,8,30.0,2024-10-08 01:00:00,Spain,26632
687763,Laptop Stand,5,30.0,2024-06-06 23:00:00,France,68691
437183,Smartwatch,2,199.99,2024-12-02 20:00:00,Germany,52555
927765,Portable SSD,2,99.99,2024-05-29 07:00:00,Italy,11326
866639,Bluetooth Speaker,4,45.0,2024-05-17 12:00:00,France,49251
304854,Bluetooth Speaker,5,45.0,2024-08-20 06:00:00,United Kingdom,82323
226780,Bluetooth Speaker,9,45.0,2024-03-02 04:00:00,France,49733
395181,Mechanical Keyboard,4,85.0,2022-04-12 01:00:00,United Kingdom,98932
382669,Portable SSD,6,99.99,2024-09-07 12:00:00,Germany,98317
539599,Wireless Mouse,2,15.99,2022-08-25 13:00:00,Germany,59661
870515,Noise Cancelling Headphones,3,120.0,2023-07-26 17:00:00,France,67332
367107,Bluetooth Speaker,6,45.0,2023-10-29 09:00:00,Germany,75150
566704,Webcam HD,8,39.99,2024-04-18 01:00:00,Spain,33172
725673,Mechanical Keyboard,4,85.0,2024-02-23 07:00:00,Italy,89029
681692,Wireless Mouse,5,15.99,2022-05-24 21:00:00,Spain,43897
958195,Smartwatch,8,199.99,2023-05-22 15:00:00,Belgium,88651
424455,Noise Cancelling Headphones,9,120.0,2022-06-20 08:00:00,France,87568
709550,LED Monitor,3,150.0,2022-01-23 18:00:00,Netherlands,39428
456506,Webcam HD,9,39.99,2024-09-22 09:00:00,Belgium,38941
557405,Mechanical Keyboard,3,85.0,2024-05-12 17:00:00,United Kingdom,16703
561512,Smartwatch,5,199.99,2024-01-28 19:00:00,Italy,87645
571803,LED Monitor,4,150.0,2022-03-01 09:00:00,United Kingdom,57578
518423,Wireless Mouse,10,15.99,2022-11-14 00:00:00,United Kingdom,61312
943634,Laptop Stand,5,30.0,2022-06-29 06:00:00,Italy,96623
815201,Bluetooth Speaker,7,45.0,2022-11-20 19:00:00,Belgium,86840
723200,LED Monitor,5,150.0,2022-06-07 06:00:00,United Kingdom,41452
822697,Smartwatch,5,199.99,2024-02-06 09:00:00,Spain,32277
281812,LED Monitor,1,150.0,2022-06-26 12:00:00,France,61281
592483,USB-C Cable,4,7.99,2023-05-10 11:00:00,Germany,58625
577681,Mechanical Keyboard,4,85.0,2022-04-28 23:00:00,Netherlands,67167
